animal;id;experience;test;path
mouse;1;1;1;МЭВЧОФХДСШРЕЮЧЖТЩУЗЦХЦЯЙН+
mouse;1;1;2;УЗЦХДСШРЕЛКАДХЦГЗУНЩТЖЧЮЕРШП+ЁИФХДСЁКАХЦЗУН+
mouse;1;1;3;ЙЙМИЛЮЧЖТЩЙМИЁП+ШПСДХЦГЗУН+
mouse;1;1;4;ЩТЖЧОФХДХЦЗУНЙУНУНЙЭВЖЩНЙМИЁП+ПШРЕЛЁПППШЕЮЧВЖЩУЗГЯЙН+
mouse;1;2;1;ИЛБЮЧЭЯГЦФИЁП+ШЕЛЁПШРЕЮЧЖЩН+
mouse;1;2;2;УНЩТЖЧЮБЕШПСЁИМЯГЗУНЙЯГЦХДАКЛБЮОИЁП+ЁКАХЦГЯЙН+
mouse;1;2;3;УНЙНЙЯГЗУНЩТЖЧЮЕРШП+ЁИМЙН+
mouse;1;2;4;УЗГЦХДСДКИФЦЗЯЭВЖЧЮЕРШП+ШРЕЛЁПШПЁИФМЙН+
mouse;1;3;1;ЮЛЁП+СДАХЦЗУН+
mouse;1;3;2;ЩЖЭЯГЦХАДСП+ШЕЛИМЙН+
mouse;1;3;3;УНЩТЖЧЮБЕШ
mouse;1;4;1;П+СДХЦЗУН+
mouse;1;4;2;УНЙЯГЦХДС
mouse;1;5;1;П+ШЁЛЕШПСДАХЦГЗУН+
mouse;1;5;2;ЩЖЧОИЁП+ЁШЕЮЧЖЩН+
mouse;1;6;1;ШЕШПЁПСДДСШПЁИМЯЙН+
mouse;1;6;2;ЩЖЧЮЕШП+ШЕБЮЧЖЩН+
mouse;1;6;3;УЗГЦХДС
mouse;1;7;1;П+ШРЕЛКАДСПШЕЮЧЖЩН+
mouse;1;7;2;ЙЯГЦХАДСП+СЁ
mouse;1;8;1;ОФОЧЖЖЖЩЙЯГЗУЙМИМЭЧЮЕШП+
mouse;1;8;2;СДХЦЗУЩЖЧЮЕШЁКА
mouse;1;9;1;ДСЁИМЙН+УЗЯЙНЩЖВЧЮЕШП+
mouse;1;9;2;СДАХКЛЮЧЭЯГГЗЗУН+УЗЦХДСШЕЛЁП+
mouse;1;9;3;ЁСДАХЦЗУЩЖЧЮЕШСССДХЦГЗУН+ЙЭВЧОИИФХКДСШЕЮОМЙУЗГЦХДСЁИМЙНЩТЩ
mouse;2;1;1;ОФЦЗУУЗЦХДС+
mouse;2;1;2;СДХКЁССШЕЮЧЖЭЙ+УЗЯЙЩЖЭЯ
mouse;2;2;1;ЦХДС+
mouse;2;2;2;ЁЛЮЧЖЩ+УЗУЙМИЁ+
mouse;2;2;3;ШЕЛКДСЁШЕЮЧЧЭ
mouse;2;3;1;Й+УНЩЖЧЮЧЭЯЗЯМИЁП+
mouse;2;3;2;СДХДСПШЕЛКИМЙН+УЗЦХДСП+
mouse;2;3;3;ЁИМЙН+НЩЖЧЖЖЩЙМИЁ
mouse;2;4;2;СДХЦЗУН+ЙМИЁП+
mouse;2;4;3;ССПШЕЮЧЖЩН+УЗЦХДХЦЗУНЙНЙМИЁП+
mouse;2;4;4;СДДСПШЕЮЧЖЩН+ЙМИЁП+
mouse;2;5;1;ЛЮЧЭЙНУЗУНЙМИЁП+СДХЦЗУН+
mouse;2;5;2;ЩЖЧЮЕЕЮЧЖЩЙНУЗЦХДССП+ШЕЮЧЖЩН+
mouse;2;6;1;ЮБЛКАДСПШЕЮЧЖЩН
mouse;2;7;1;ЙМИЁПЁП+ШЕЮЧЖЩН+
mouse;2;7;2;ЙМИЁП+ШЕЮЧЖЖЭЙН+
mouse;2;7;3;ЩЖВЭМИЁП+СДХЦГЗУН+
mouse;2;7;4;ЙЭВЧЮЕШПЁИМЙН
mouse;2;8;1;ЙУЗЦХДСП+ЁЛБЕЮЧЖЩУЗУН+
mouse;2;8;3;ЩЖЭЯГЦХДСП+ЁИМЙН+
mouse;2;8;4;ЙМИЁП+ЁИМЙН+
mouse;2;8;5;ЙМИЁП+СДХЦЗЗУН+
mouse;2;8;6;ЙМИ
mouse;2;9;1;ЁП+ШЁИМЙН+
mouse;2;9;2;ЙМИЁП+ЁИМЙН+
mouse;2;9;3;УЗГЦХДСП+ЁЛИМЙН+
mouse;2;9;4;ЙМИЁП+ЁИМЙН+
mouse;2;9;5;УЗГЦХДКЁП+ЁИМЙН+
mouse;2;9;6;ЩЖВЧЮБЛЁП
mouse;2;10;1;+СДХЦЗУН+ЙМИЁП+
mouse;2;10;2;ЁИМЙН+ЩЖВЧЮЕШП+
mouse;2;10;3;ЁИМЙН+УЗГЦФИЁП+
mouse;2;10;4;ЁИМЙН+ЮБЛКАДСПШЕЮЧЖЩНЙМИЁП
mouse;2;11;1;МЙН+ЙМИЁП+
mouse;2;11;2;ЁИМЙН+УЗГЦХДСП+
mouse;2;11;3;ЁЛИМЙН+ЙМИЁП+
mouse;2;11;4;ЁИМЙН+УЗГЦХДКЁП+
mouse;2;11;5;ЁИМЙН+ЩЖВЧЮБЛЁП+
mouse;2;11;6;СДХЦЗУН+ЙМИЁП+
mouse;2;11;7;ЁИМЙН+ЩЖВЧЮЕШП+
mouse;2;11;8;ЁИМЙН+УЗГЦФИЁП+
mouse;2;11;9;ЁИМЙН+
mouse;2;12;1;ЮЕШЕЮЧЖЩН+
mouse;2;12;2;ЙМИЁП+СДХЦЗЗЯЭЖЩН+
mouse;2;12;3;ЙМИЁ
mouse;2;13;1;П+СДКЁПШЕЮЧЖЩН+
mouse;2;13;2;ЙЯЗУНЙМИЁП+ШЕЛИМЙН+
mouse;2;13;3;ЙМИЁП+ЁИМЙН+
mouse;2;13;4;УЗЦХДСП+ЁЛЕШПЁИМЙН+
mouse;2;13;5;УЗЯМИЛ
mouse;2;14;1;ЕШП+ЁИМЙН+
mouse;2;14;2;ЙМИЁПЁИМЙННУЗЦХДСП+ЁИМЙН+
mouse;2;14;3;ЙЯЗУНЙМИЁП+ЁШЕЮЧЖЩН+
mouse;2;14;4;ЙМИЁП
mouse;2;15;1;+СДКИМЙН+ЩЖЧЮЕШП+
mouse;2;15;2;ЁИМЙН+УЗЯМИЁП+
mouse;2;15;3;ШПЁИМЙН+ЙМИЁП+
mouse;2;15;4;СДХЦЗЗУН+УЗГЯЙ
mouse;2;16;1;НЩЖВЧЮЕШП+
mouse;2;16;2;ЁИМЙН+УЗГЯЦХДСП+
mouse;2;16;3;ЁИМЙН+ЙМИЁП+
mouse;2;16;4;СДКЁШЕЮЧЖЩН+УНЙМИЁП+
mouse;2;17;1;ШЕЮЧЖЩН+ЙЯЗУНЙМИЁП+
mouse;2;17;2;ЁИМЙН+УЗЦХДСЁП+
mouse;2;17;3;СДСЁИМЙН+ЙМИЁПЁИМИОЮЛЁП+
mouse;2;17;4;ШЕЮЧЖЩН+
mouse;2;18;1;УЗГЦХДСП+
mouse;2;18;2;СПЁИМЙН+ЩЖЧЮЕШП+
mouse;2;18;3;ЁИМЙН+ЙНЩЖЧЮЕЕШП+
mouse;2;18;4;ЁИМЙН+ЙЙНЙМИЁП+
mouse;2;18;5;СДКЁП
