animal;id;experience;test;path
fish;2;4;1;ПОООООИЛКА+КЛЛКШХЦЩЗСТ
fish;2;4;2;ПОООИИООИКА+ДСР
fish;2;4;3;ПОМЛЛКЩЦХХЦЩЗСССЖЛМООИИИИИИИИООИЛЛКШЧЦЩКЛЖССССССЖЛМООИЛЛКА-ШХЦЩЗССЗКЩЦХША+КЛЛИООМЛИГ
fish;2;5;1;ПОММММООМКГ+ЩЦЦЦХША+ШХЦЦХХЦЩГККЗСССТСЗГ+ЩЦХША+ККХЦЦХШККШХЦКЛВЖТСЗКЛВГ-ЗСССТ
fish;2;5;2;НОМКГ-ЩЦХШКЛЛКА-ЧЦЩГ-ССЗЩЦХШККЛБЛИИИИИООМККЛЖТЖЛИЩЩИКА-ДСЕЛКШХЦЩКЛВЖСС
fish;2;5;3;ПОМКЛЖЖЛМООИИИИООИЛЛКДСР
fish;2;6;1;НОФЦГ+ЗССССЖЛККМООИКШХФФФФФФФФФФФФФФФФООИКШХЩЩКЛЛЛЛМООИЛЕЕЛККЛЛИООМЛЖЖЛМООИЛЛИООИИИИИЛЕР
fish;2;6;2;ТЖВЛМООИЛБЕР
fish;2;6;3;ПОФЦГ+ЗСЖЛКЩЦЧШДСЕЛИИЛЛИМКГ+КЛЖТ
fish;2;6;4;ПОФХШДССДШХХША+КЛЛКШХХШДССДШХХХКИИИФЦЩЗСЖЛККККМИИФЦЩЗСЖЛККМИИФЦЩЗСЖЛККЛЛМИКДСЕЛИООФЦЩЗССЗЩЦЦЩЗСЖЛЛЖТ
fish;2;7;1;НОООИККЛЛККЛЛККИИККЛББЛИОООООИКШХЦЩЗССЗЩЦХШКЛЛИООООООИЛЛККЛЕССЕЛИИЛЛИИЛЛИООФЦЩЗСТ
fish;2;7;2;НОФЦЦХШДССДШХЦЩГ+ЩЦЦЩЗСЖЛКЗССЗЩЦЦЦХШДССДККШХФФЦЦХХЦЩКЛЛКГ-ЩЦЦЩКЛЖСЗКЛЛМФХША+ККШХХШДССДШХХКЛЛКДСЕЛИИИИКККДССДДССДФ-ШХХШККДССДШХЦЦФООФХХХХХШДССДШХЦЩЗСТ
