;input;path;Lev;generated
342;mouse 1 1;О М Э Я Г Я Э М О Ы О М Я Э Ж Щ У З Я М И К А К Л Е Р;22; О Ф Х А К Л Е Р Ш Т
343;mouse 1 2;О И К Д С Ш Е Л И М Я Г З У Щ Т Ж Э Я Э М О Ы О И К Д С Ш Р;27; О Ф Х А К Л Е Р Ш Т
344;mouse 2 1;О Ф Х К И М Я Г Я Э Ж Т Щ У З Г З У Щ Т Щ У З Я М И Л Е Р Е Л К А Д С Ш С Д Х Ц З У Щ Т Ж Э М И К Д С Ш Е Л И М Э Ж Т;52; О Ф Х А К Л Е Р Ш Т
345;mouse 2 2;О Ф Ц З У Щ Т Щ У З Г З У Щ У З Ц Х К Л К А Д Х Ц З У Щ Т;25; О Ф Х А К Л Е Р Ш Т
346;mouse 2 3;О Ф Х К И Ф Ц Г З У Щ Т Ж Э М И Л Е Р;14; О Ф Х А К И М Я Г Т
347;mouse 2 4;О Ф Ц З У Щ Т Щ У З Г Я М И К А Д С Ш Р Ш Р Е Л И М Я Г Ц З У Щ Т Ж В Э М И К А Д А Х Ц Г З У З Ц Ф О Ы О Ф Ц Я М Э Ж Щ У З Я М И Л Е Р Е Л К А К Л Е Ш С Д А Х Ц З У Щ Т;78; О Ф Х А К И М Я Г Т
348;mouse 2 5;О И К Д С Ш Р;7; О Ф Х А К И М Я Г Т
349;mouse 3 1;О Ф Х К Л Е Ш С Д А Х Ц Я Э Ж Т Щ У З Я М О Ы О Ф Х Д А Х Ф О Ы О Ф Х К И М Э Ж Щ У З Г Ц Х К Л Е Р;43; О Ф Х А К Л Е Р Ш Т
350;mouse 3 2;О И Л Б Л К А Д Х Ц Г З У Щ Т;13; О Ф Х А К Л Е Р Ш Т
351;mouse 3 3;О Ф Ц Г З У Щ Т Ж Э М И К А Х Ц Г Я Э В Ж Т Щ У З Ц Х К И М Э М О Ы О Ф Х Ц Х А Д А Х Ц Г З У З Г Ц Х А К Л Е Р Ш С Д А Х Ф М Я Г Ц Ф О Ы О Ф Ц Г З У Щ Т;69; О Ф Х А К И М Я Г Т
352;mouse 3 4;О И К А Д А Х Ф И Л К А К Л К А Х Ц Г З У Щ Т Ж Э М И К Х Ц З У З Г Ц Ф М Я Г Ц Х А К Л Е Р Е Л И Ф Ц З У Щ Т;47; О Ф Х А К И М Я Г Т
353;mouse 3 5;О Ф Х А К Л К А Д С Ш Р;7; О Ф Х А К И М Я Г Т
354;mouse 3 6;О Ф Х Ц Г Ц Ф О Ы О И К Х Ц Г З У Щ Т Щ У З Г Я Ц Х К Л Б Е Р Ш С Д А Х Ф М Э В Ж Щ У З Г Ц Ф И Л Е Р;45; О Ф Х А К И М Я Г Т
355;mouse 4 1;О Ф Х А К Л Е Р Ш С Д А Х Ц Г Я Э В Э Я З У З Г Ц Ф М И К А Х Ц З У Щ Т Ж Э М Ф Х К Л И М Я Г Ц;39; О Ф Х А К Л Е Р Ш Т
356;mouse 4 1;Х Ф Х К И М Я Г Ц Х А К А Х Ф М Я Ц Я М И К Д С Ш Р;21; О Ф Х А К Л Е Р Ш Т
357;mouse 4 2;О Ф Ц Г Я Э В Ж Т Ж Э М О Ы О И К А Х Ц Г З У Щ Т;21; О Ф Х А К И М Я Г Т
