;input;path;generated;Lev
0;fish 4 1; О О О О О И Л К А К Л Л К Ш Х Ц Щ З С Т; О Ф Х Ш А Ш Х Ц Щ Т;14
1;fish 4 2; О О О И И О О И К А Д С Р; О Ф Х Ш А Ш А Д С Т;9
2;fish 4 3; О М Л Л К Щ Ц Х Х Ц Щ З С С С Ж Л М О О И И И И И И И И О О И Л Л К Ш Ч Ц Щ К Л Ж С С С С С С Ж Л М О О И Л Л К А Ш Х Ц Щ З С С З К Щ Ц Х Ш А К Л Л И О О М Л И Г; О Ф Х Ш А Ш Х Ц Щ Т;73
3;fish 5 1; О М М М М О О М К Г Щ Ц Ц Ц Х Ш А Ш Х Ц Ц Х Х Ц Щ Г К К З С С С Т С З Г Щ Ц Х Ш А К К Х Ц Ц Х Ш К К Ш Х Ц К Л В Ж Т С З К Л В Г З С С С Т; О Ф Ф Ф Ф Ц Щ К Л Т;64
4;fish 5 2; О М К Г Щ Ц Х Ш К Л Л К А Ч Ц Щ Г С С З Щ Ц Х Ш К К Л Б Л И И И И И О О М К К Л Ж Т Ж Л И Щ Щ И К А Д С Е Л К Ш Х Ц Щ К Л В Ж С С; О Ф Ф Ф Ц Щ К Л Л Т;59
5;fish 5 3; О М К Л Ж Ж Л М О О И И И И О О И Л Л К Д С Р; О Ф Ф Ф Ф Ц Щ К Л Т;21
6;fish 6 1; О Ф Ц Г З С С С С Ж Л К К М О О И К Ш Х Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф Ф О О И К Ш Х Щ Щ К Л Л Л Л М О О И Л Е Е Л К К Л Л И О О М Л Ж Ж Л М О О И Л Л И О О И И И И И Л Е Р; О Ф Ф Х Ш А К Л К Т;79
7;fish 6 2;Т Ж В Л М О О И Л Б Е Р; О Ф Х Ш А К К К Л Т;11
8;fish 6 3; О Ф Ц Г З С Ж Л К Щ Ц Ч Ш Д С Е Л И И Л Л И М К Г К Л Ж Т; О Ф Ф Х Ш А К К К Т;24
9;fish 6 4; О Ф Х Ш Д С С Д Ш Х Х Ш А К Л Л К Ш Х Х Ш Д С С Д Ш Х Х Х К И И И Ф Ц Щ З С Ж Л К К К К М И И Ф Ц Щ З С Ж Л К К М И И Ф Ц Щ З С Ж Л К К Л Л М И К Д С Е Л И О О Ф Ц Щ З С С З Щ Ц Ц Щ З С Ж Л Л Ж Т; О Ф Х Ш А Ш Х Ц Щ Т;89
10;fish 7 1; О О О И К К Л Л К К Л Л К К И И К К Л Б Б Л И О О О О О И К Ш Х Ц Щ З С С З Щ Ц Х Ш К Л Л И О О О О О О И Л Л К К Л Е С С Е Л И И Л Л И И Л Л И О О Ф Ц Щ З С Т; О Ф Ф Х Ш А Ш Х Ц Т;76
11;fish 7 2; О Ф Ц Ц Х Ш Д С С Д Ш Х Ц Щ Г Щ Ц Ц Щ З С Ж Л К З С С З Щ Ц Ц Ц Х Ш Д С С Д К К Ш Х Ф Ф Ц Ц Х Х Ц Щ К Л Л К Г Щ Ц Ц Щ К Л Ж С З К Л Л М Ф Х Ш А К К Ш Х Х Ш Д С С Д Ш Х Х К Л Л К Д С Е Л И И И И К К К Д С С Д Д С С Д Ф Ш Х Х Ш К К Д С С Д Ш Х Ц Ц Ф О О Ф Х Х Х Х Х Ш Д С С Д Ш Х Ц Щ З С Т; О Ф Х Ш А Д С С Д Т;135
12;fish 8 1; О О О М М М Л Ж Ж Л М О О М М Ф Х Ш К К А Ш Ш Д С С Д А Д С Е Л К Ш Х Ф О О М Л Л Л К Г К К Ш Ц Ф Ф Ц Щ З С Т; О Ф Ф Х Ш А Ш Х Ц Т;47
13;fish 8 2; О М К Г К К З С Т; О Ф Х Ш А Ш А К К Т;8
14;fish 8 3; О Ф Х Х Ц Щ З З Щ Ц Х Ш Д С Е Л К А К К Д С С Д Ш Х Ц К Л Ж С З З С Т Ж Л К Щ Ц Ф Ф Ц Щ Г К Л Л К Г Г Щ Ц Х Ш Д С Е Л И И И М К Г Щ Ц Ц Г З С Ж В Л К З С Ж В Л К З С С З Г З С Ж Л М О О Ф Ш А А Д С С Д Ф Ш Х Ф О О Ф Х Ш А А Ш Х Х Ш Д С С С Р; О Ф Ф Х Ш А К К К Т;113
15;fish 8 4; О О О Ф Х Ш К К Ш Х Ф Ф Ф Ф Ц Щ Г К К З С С З Г Щ Ц Ц Щ З С С З Г К М О О Ф Х Ш Л Е С Д А Ш Х Х Ш Ф Д Д К К Ш Х Х Ш А К К Ш Х Ф Ф Х Ш К К К Л Л И К Ш Х Х К А К К Ш Х Ц Щ Г З С С З Щ Ц Х Х Ф О О М К К Л Ж С З Г Щ Щ З С Т; О Ф Х Ш А Ш Х Ц Щ Т;101
16;fish 9 1; О М Л В Л К К Л Л К Г К К Г Г З З Г З С Т; О Ф Х Ш А Д С С Д Т;19
17;fish 9 2; О Ф Х Ш А Ш Х Х Ш Д Д А А Д С С С Е Л И О О Ф Ц Щ Г Щ Ц Ц Щ Г Г Г К Л Л К Г З С С З Щ Ц Х Ш Д С С Д А Ш Х Ц Щ Г З С Ж В Л М Ф Ф Ф Х Ш К Л Б Л К К Л Б Е Р; О Ф Х Ш А Д С С Д Т;68
18;fish 9 3; О Ф Ф Ф Х Х Ф Ф Х Ш Д С С Д А К К А Д С С Д К К А Д С С С Е Л К А Ш Х Х Ш Ш Х Ц Щ К Л Л К Г З С Ж Л К Г З З Г З С С З Щ Ц Х Х Ц Щ З С Ж В Л Л Ж С С Ж Л К Г Г Щ Ц Х Ш А Д С С Д К К Д С Р; О Ф Х Ш А А А А Д Т;84
19;fish 9 4; О Ф Ф М Л В Л К З З Г З С С З Ц Ц З С С З Щ Ц Х Х Ф О О Ф Х Х Ц Г З С С З К Л Ж Т; О Ф Х Ш А Д С С Д Т;36
20;fish 10 1; О Ф Х Ш К Л Л К Ш Х Ц Щ З С Ж Л К К Л В Л М И И И И И И И И И И И М К К Л Ж Ж Л М И К Д С С Д Д С Е Л Л Б Л И М Л Л К З С Ж Ж Ж Л М И И Л Е Р Р С С Р; О Ф Х Ш А К К Л К Т;67
21;fish 10 2; О Ф Ф М К Л Л М И Л Л И М К Г К Л Л К Г З С С З З К К К Л Ж Ж Л И И И М М И К К К Д С С Д К Л Б Л И М Л Ж С С С З Г Щ Ц Ц Ц Х Ш Д С С Д А К Л Е С Д А К К К К Ш Х Х Ш Г К Л Л Л Л Л М И К Д С Е Л И О О Ф Щ Щ Г З С Т; О Ф Х Ш А Д С С С Т;99
22;fish 10 3; О Ф Х Ш А К К А Д С С Д А Ш Х Ц Щ Г К К К Л Л К З С Ж Л М О О И Л Л К А Ш Х Ц Ц Х Ш А Ш Х Х Х Ш А А А Ш Х Ц Щ З С Ж Л Л Ж Т; О Ф Х Ш А К К К Л Т;53
23;fish 11 1; О И И И И М Л Л К Г К К Г Г З З К К Щ Ц Х Ш Д С С Д А А А Ш Х Х Ш А Д Д А Д Д А А Д С С Д Ш Х Ф О О М К Г Г Г Г З С С З К К Г З С Т; О Ф Х Ш А К К К К Т;59
24;fish 11 2; О И К А К К Д С С Д А А А А Д Д А Ш Х Ф И К Д С Е Б Л К А А Д С Е Л И М Л Ж С З Г З С С З Г З З К К З С Т; О Ф Х Ш А А А А А Т;47
25;fish 11 3; О Ф Ц Щ К Л Ж С С С З Г Щ Ц Х Ш Д С Е Л К А Ш Х Ф Ф Х Ш К К А Д С С Д А Д Д А Ш Х Ц Щ Г К М М К Г З З К К З С Ж Л К Г Щ Ц Х Х Ф О О М Л Л К К К К Л Л М И Л Б У С Д К Л Л И О О И Л Л И О О И К Д С Е Б Л И М К К Л Ж С С Т; О Ф Х Ш А А А А А Т;102
26;fish 12 1; О О О И И И К К К К Л Л К К К К Л Л И И Л Л И И Л Е С Д А К К К Л Е С Д А А Ш Х Ф О О И К А А А А Д С С Д К К А Ш Х Ц Щ З З Г З С С З Г К Л Ж С З К М И И И К А Ш Х Х Ш А А Д С Е Л И М Л М М М И Л Е Р; О Ф Х Ш А Д С С С Т;93
