;input;path;generated;Lev
29002;monkey 3 1; О М Э Ж У З Г З У Ж Э Э Ж У З З З Г Я Э Ж У З З У Т; О И К А К И М Я Г Т;24
29003;monkey 3 2;О М Я Г Я Я З У Ж Э М И Л Е Р; О И К А К И М Я Г Т;13
29004;monkey 4 1;Ы О М Я Г З У Ж Э Э У З Я М И Л Е Е С Д С Е Б Л И М Э Ж Ж М И Л Е Р; О И К А К И М Я Г Т;30
29005;monkey 4 2; О М Я З У Ж В В Э М И Л Е С Д Д С Е Б Л И М В Э М И Л Б Е Р; О И К А К И М Я Г Т;26
29006;monkey 4 3; О М Э В Ж Ж Э М И Л Е Е Б Е Р; О И К А К И М Я Г Т;13
29007;monkey 4 4; О И К А Д С Е Б Е Р; О И К А К И М Я Г Т;6
29008;monkey 4 5;О И Л Е Р; О И К А К И М Я Г Т;7
29009;monkey 4 6;Т У З Г Я М И И И Л Е Р; О И К А К И М Я Г Т;11
29010;monkey 4 7;О И Л Е Р; О И К А К И М Я Г Т;7
29011;monkey 4 8;О М Я З З Я Э Э М И Л Е Р; О И К А К И М Я Г Т;11
29012;monkey 4 9; О И Л Е С Д А К Л Е Е Л И М Э Ж У З Я Э Ж Т; О И К А К И М Я Г Т;15
29013;monkey 5 1; О И Л Е С Д К И М Э Ж Ж В Э М И Л Е Р; О И К А К И М Я Г Т;14
29014;monkey 5 2; О И К Д С Е Л И М Я З З Я Э Ж Ж Э М И К Д С Р; О И К А К И М Я Г Т;17
29015;monkey 5 3; Н О М Э Ж У З Я Я З З Я М И К Д Д К Л Е Е Б Л И М Э Ж У З Я М И К А А А К Л Е С Д А К И М Э В Ж Т; О И К А К И М Я Г Т;42
29016;monkey 5 4; О М Я З У Ж Ж У З Я М И К А А А Д С Е Е С Д А А К И М Я Г Г З З Я М И Л Е Р; О И К А К И М Я Г Т;29
29017;monkey 5 5; О И Л Е С Д А К И М Э Ж У З Г З З Г Я М И К А А А К И М Э Ж Т; О И К А К И М Я Г Т;24
29018;monkey 5 6;О И К А А К И М Я Г З З Г Я М И К А Д С Р; О И К А К И М Я Г Т;12
29019;monkey 6 1; О Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;7
29020;monkey 6 2; О Я Г Я М И К А К И М Я Г Г З У Ж Э Я З З Я М И К А Д С Е Л И М Э Ж Т; О И К А К И М Я Г Т;26
29021;monkey 6 3; О И Л Л И М Я З З Г Я М И Л Е Р; О И К А К И М Я Г Т;11
29022;monkey 6 4; О И К А К И М Я Г З У Ж Э Э Ж Т; О И К А К И М Я Г Т;7
29023;monkey 6 5; О И К А К И М Я Г З У Ж Э Я Я М И К А Д Д К Л Л К К И М Я З У Т; О И К А К И М Я Г Т;23
29024;monkey 6 6; О И К А К И М Я Г Я Э В Э Я Я М И К А Д С Р; О И К А К И М Я Г Т;13
29025;monkey 6 7;О И К А Д С Р; О И К А К И М Я Г Т;5
29026;monkey 7 1; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29027;monkey 7 2; О Я Г З У Т; О И К А К И М Я Г Т;8
29028;monkey 7 3; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29029;monkey 7 4; О М Я Г З З Я Э В Ж Т; О И К А К И М Я Г Т;10
29030;monkey 7 5; О И К А К И М Я Г Я М И К А К Л Б Л И М Я Г З У Т; О И К А К И М Я Г Т;16
29031;monkey 7 6; О М Я Г З У Т; О И К А К И М Я Г Т;8
29032;monkey 7 7; О И К А К Л Л И М Я Г З У Т; О И К А К И М Я Г Т;5
29033;monkey 7 8; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29034;monkey 7 9; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29035;monkey 7 10; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29036;monkey 7 11; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29037;monkey 7 12; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29038;monkey 7 13; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29039;monkey 7 14; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29040;monkey 7 15; О М Э Ж У З Г Я М И К А К Л Е Е Л И М Я Г З З Г Я М И К А Д Д К И М Я Г З У Т; О И К А К И М Я Г Т;30
29041;monkey 7 16;О И К А К И М Я Г З У Ж Э М И К А Д С Р; О И К А К И М Я Г Т;11
29042;monkey 7 17; О И К А Д С Р; О И К А К И М Я Г Т;5
29043;monkey 7 18; О М Я Г З У Т; О И К А К И М Я Г Т;8
29044;monkey 7 19; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29045;monkey 7 20; О М М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;6
29046;monkey 7 21; О И К А К И М Я Я Э Ж Т; О И К А К И М Я Г Т;4
29047;monkey 7 22; О И К А К И М Я Г Я М И К К И М Э Ж Т; О И К А К И М Я Г Т;10
29048;monkey 8 1;О И К А К И М Я Г Я М И К А К И М Я Г Я Э В Ж Ж Э Я З З Г З З Я М И К А К И М Я Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;45
29049;monkey 8 2;О И Л Л К А К И М Я Г З У Ж Э М И К К И М Э Ж Т; О И К А К И М Я Г Т;15
