;input;path;generated;Lev
27480;person 1 1;Ы О М Я Г Ц Х А Д С Ш Е Б Л И К А К И О Ы О Ф Ц Г Я Э В Ж Т; Ы О Ф Х А Д С Ш Р Т;23
27481;person 2 1;Ы О И Л Б Е Р Ш С Д А А Х Ц Г З У Щ Ж В Э М О Ф Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;23
27482;person 3 1;Ы О М Я Г З Г Ц Х А Д С Ш Е Б Л И О М Э В Ж Т Щ У З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;25
27483;person 4 1;Ы О Ф Х А Д А К И О Ф Ц Г З Г Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;13
27484;person 5 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27485;person 6 1;Ы О И Л Л Б Е Р Ш С Д А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;12
27486;person 7 1;Ы О Ф Х А Х Ц Г Ц Ф О Ы Ы О И Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;11
27487;person 8 1;Ы О Ф Х А А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;4
27488;person 9 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27489;person 10 1;Ы О Ф Х А Х Ц Г З Г Ц Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;8
27490;person 11 1;Ы О И К А Д С Д А Х Ц Г З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;11
27491;person 12 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27492;person 13 1;Ы О И К А Х Ц Г З З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;8
27493;person 14 1;Ы О Ф Х А К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27494;person 15 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27495;person 16 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27496;person 17 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27497;person 18 1;Ы О И К А Х Ц Г З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27498;person 19 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27499;person 20 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27500;person 21 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27501;person 22 1;Ы О Ф Х А К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27502;person 23 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27503;person 24 1;Ы О Ф Х А Х Ц Г Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;4
27504;person 25 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27505;person 26 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27506;person 27 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27507;person 28 1;Ы О Ф Х А Х А Х Ц Г З З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;8
27508;person 29 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27509;person 30 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27510;person 31 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27511;person 32 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27512;person 33 1;Ы О Ф Х А К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27513;person 34 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27514;person 35 1;Ы О И К А Х Ц Г Я М Э В Ж Т Щ Т; Ы О Ф Х А Х Ц Г З Т;10
27515;person 36 1;Ы О И К А Х Ц Г З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27516;person 37 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27517;person 38 1;Ы О И К А Х Ц Г Я Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27518;person 39 1;Ы О И К А А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;6
27519;person 40 1;Ы О И К А А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;6
27520;person 41 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27521;person 42 1;Ы О И К А Х Ц Г З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27522;person 43 1;Ы О И К А Х Ц Г З Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27523;person 44 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27524;person 45 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27525;person 1 1;Ы О И К А Д С Ш Р Е Б Л И О О М Э Ж В Т Щ У З Г Ц Х А Д С Ш Р Е Л И О Ф Ц Г Я Э В Ж Т; Ы О Ф Х А Д С Ш Р Т;35
27526;person 2 1;Ы О И Л Е Б Ш С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27527;person 3 1;Ы О М Я Г Ц Х А Д А Х А Д С Ш Р Е Б Л И О Ы О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;23
27528;person 4 1;Ы О Ф Ц Г Ц Х А Х Ц Г Я М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;9
27529;person 5 1;Ы О Ф Ц Г Ц Х А Д С Ш Е Б Е Р; Ы О Ф Х А Х Ц Г З Т;10
27530;person 6 1;Ы О Ф Ц Г Г Ц Х А Д С Ш Р Е Р Р; Ы О Ф Х А Х Ц Г З Т;11
27531;person 7 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27532;person 8 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27533;person 9 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27534;person 10 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27535;person 11 1;Ы О Ф Ц Г Ц Х А А А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27536;person 12 1;Ы О Ф Ц Г Ц Х А А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27537;person 13 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27538;person 14 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27539;person 15 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
